auteur,date,note,contenu
Chen,23/01/2025,5.0,"J’ai choisis cette école pour sa réputation, les retours positifs des étudiants et je ne regrette pas du tout. Ça change des écoles classique car ici on pratique plus que faire de la théorie !Les différents intervenants sont professionnels, à l’écoute et surtout tellement bienveillant. Mon année de commencé cet octobre 2025 et nous avons déjà fait 6 projets  (2 solo et 4 en groupes). Toute l’administration est également très professionnelle surtout notre responsable pédagogique il est comme un ami je dirais. En tout cas j’ai hâte pour le reste à venir !"
Emmanuel,31/12/2024,5.0,"HETIC est l’endroit où l’innovation, l’ingénierie, la créativité et l’entreprenariat se rencontrent dans un programme d’excellence (en parlant du Programme Grande École). Cette formation a littéralement changé ma vie."
ROMARIC,10/12/2024,4.5,Une administration et des intervenant à l'ecoute des étudiants.Encore plus pour l'etudiant international que je suis.
Alexandre,06/06/2024,5.0,"Diplômé de HETIC en 2011 et intervenant pendant 10 ans, l'école est encore une pionnière 20 ans après sa création"
Valouzy,10/10/2022,5.0,Très bonne expérience
Ashuni,10/03/2022,4.5,Bonne expérience
louisandre,08/02/2022,4.0,Bonne expérience
Ano,20/09/2021,3.8,"Très bonne école.  Personnellement, je trouve, c'est l'une voir la meilleure école du web (Comparé a certaines autres écoles). Hetic permet de nous préparer principalement au développement web front-end (le back end étant très mineur malgré l'image donnée par l’école). Les bachelors sont presque totalement délaissé au profit du cursus grande école. L'administration n'aide pas vraiment en recherche d'alternance. Il est quasiment impossible d'avoir certaines personnes de l'administration après l'inscription. Les intervenants ont un excellent niveau (pour la majorité). Les locaux sont bien équipés."
Greg,26/06/2021,1.0,Très mauvaise expérience
jbnr,19/03/2021,2.0,"Une école qui vend du rêve, mais qui est incapable d'établir un programme scolaire correct."
Julien D,09/02/2021,1.0,"Formation de très faible qualité. Les locaux sont mal situés, mal équipés et peu confortables. La rue devant l'école est un dépotoir avec de nombreuses camionnettes alignées... Certains intervenants sont intéressants mais cela reste une minorité. Le pire étant l'administration qui est désagréable et désastreuse. L'ambiance est hautaine car les étudiants se croient dans une bonne école, quelle blague. Beaucoup d'autres formations Parisiennes sont de bien meilleur qualité."
élève 5ème année Hetic,17/01/2021,5.0,"Très très bonne école. Selon moi, c'est la meilleure école du web. Elle concurrence même très fortement les écoles de commerce. Hetic permet de nous préparer à tous les postes que l'on peut retrouver dans le web. Elle nous prépare aussi très bien à monter notre propre entreprise. Étant en 5ème année, je n'ai que de très bons retours de la part des entreprises. L'école à une très bonne réputation et propose une très bonne formation."
Ashuni,01/07/2020,4.0,Bonne expérience
ClyCly,12/03/2020,4.8,"Bonne école, on y apprend à être beaucoup plus autonome."
ancieneleve Hetic,21/10/2019,4.5,"Je suis une ancienne élève discrète à Hetic (+5 ans maintenant, je reste anonyme) et quand je vois les avis actuels comparés aux jeunes que je rencontre dans le milieu du travail aujourd'hui. Je me dis que beaucoup de gens pensent malheureusement rentrer dans des écoles ""clés en main"". Et croient en plus que dans le milieu du travail c'est pareil, qu'ils seront pris par la main pour réussir.Hetic ce n'est pas la fac, ce n'est pas écouter des heures de cours dont on retient que le quart. Vous n'apprendrez pas tout sans être un peu curieux et sans donner (et douter!) de vous même. Nous avons certes des intervenants qui très biens, mais le tronc des cours purs et durs ne sont pas la force de cette école. Le web évolue beaucoup trop vite pour ça.Mon aventure à Hetic n'a pas été d'apprendre des cours, ça été de rencontrer des personnes, des spécialistes et d'apprendre des autres pour me trouver moi, d'être curieuse sur le web et les compétences de chacun.Vous ne payez pas l'école pour avoir vos stages fournis, vous ne payez pas l'école pour vous signer à votre place votre 1er cdi.Le seul regret que j'ai par rapport à Hetic c'est qu'elle est trop peu connue en province."
Heuy,05/09/2019,2.3,"Hetic est une école ou vous apprendrez à vendre vos projets, à faire de belles présentations. L'école à de nombreux anciens élèves prêts à faire confiance pour embaucher des stagiaires/alternants, qui se convertissent fréquemment vers des CDI (pour la plupart en région parisienne). Concrètement, l'intérêt de ce genre d'école, c'est le réseau.Par contre, vous n'apprendrez casi rien de concret, les cours techniques ne seront jamais poussé très loin, vous survolerez tout vaguement puisque personne dans les promotions n'a le même niveau ni les mêmes appétences, les intervenants ne peuvent donc pas approfondir leurs sujets, ce qui est dommage puisque les intervenants sont parfois très bons dans leur domaine !Si vous savez précisément quel métier vous voulez faire, ne rentrez pas à Hetic, formez vous sur Internet. L'école est, selon moi, faites pour ceux qui, après le bac, ne savent pas ce qu'ils veulent faire de leur vie et ont envie d'être initié aux métiers du numérique (et ceux qui ont beaucoup d'argent à dépenser)."
Mika Stark,02/09/2019,5.0,"Actuellement en troisième année de la formation Grande Ecole, HETIC est pour moi une grande aventure, un nouvelle horizon et une expérience tant personnelle que professionnelle extrêmement enrichissante, et la vie associative embellie cette expérience !"
csoler,07/08/2019,4.0,Bonne expérience
Hatic,11/07/2019,2.5,"L'école de la désillusion dans laquelle j'ai beaucoup appris en première année et dont tout est partie en fumée en deuxième année. Des intervenants désintéressés et imbus d'eux-même pour la plupart, ce qui n'étais pas le cas avant. Tout cela m'a valu une bonne dépression des familles et une grosse remise en cause de mon choix professionnel. Finalement, changer d'école et travailler dans mon domaine m'a permis de me rendre compte que le problème ne venait pas de moi mais simplement de cette école qui ne pense qu'à extorquer de l'argent à ses élèves. Je n'ai jamais été aussi dégoûtée de ma vie. Pour 1 an de vacances à 7000€, j'aurais préféré partir à l'étranger."
Jean,24/06/2019,1.3,Très mauvaise expérience
Bertrand,06/06/2019,5.0,Très bonne expérience
