École,Thématique,ID Thématique,Critère,Score /10,Note brute
École Polytechnique - Palaiseau,Mieux connaître l'école,425,Présence sur Parcoursup,,Oui
École Polytechnique - Palaiseau,Mieux connaître l'école,425,Villes d'implantation de l'école en France,,Palaiseau
École Polytechnique - Palaiseau,Mieux connaître l'école,425,Statut de l'école,,Public
École Polytechnique - Palaiseau,Mieux connaître l'école,425,Ministère de tutelle,,Ministère des Armées
École Polytechnique - Palaiseau,Mieux connaître l'école,425,Concours,,X-ESPCI
École Polytechnique - Palaiseau,Mieux connaître l'école,425,Taille des promos en cycle ingénieur,,547
École Polytechnique - Palaiseau,Mieux connaître l'école,425,Spécialités proposées,,Ingénieur généraliste
École Polytechnique - Palaiseau,Mieux connaître l'école,425,Nombre de places en résidence Crous et privées,,1996
École Polytechnique - Palaiseau,Mieux connaître l'école,425,Étudiants rémunérés pendant leurs études,,80%
École Polytechnique - Palaiseau,Origine des intégrés,426,Cycle prépa intégrée - Nombre d'intégrés à bac,,Non communiqué
École Polytechnique - Palaiseau,Origine des intégrés,426,Cycle ingénieur - Nombre d'intégrés en 1ère année,,Non communiqué
École Polytechnique - Palaiseau,Origine des intégrés,426,Origine des intégrés en cycle ingénieur,,Voir plus
École Polytechnique - Palaiseau,Origine des intégrés,426,Nombre d'intégrés issus de bac général,,Voir plus
École Polytechnique - Palaiseau,Origine des intégrés,426,Nombre d'intégrés issus de bac technologique,,Voir plus
École Polytechnique - Palaiseau,Origine des intégrés,426,Nombre d'intégrés issus d'un autre bac,,2
École Polytechnique - Palaiseau,Recherche et excellence académique,427,Moyenne au bac des intégrés,"10,0/10","17,86"
École Polytechnique - Palaiseau,Recherche et excellence académique,427,Nombre d'étudiants par enseignant,,"8,08"
École Polytechnique - Palaiseau,Recherche et excellence académique,427,Part d'enseignants-chercheurs,"9,5/10","95,57%"
École Polytechnique - Palaiseau,Recherche et excellence académique,427,Pourcentage de diplômés poursuivant en thèse,,"100,00%"
École Polytechnique - Palaiseau,Recherche et excellence académique,427,Masse et encadrement des doctorants,"10,0/10",Très importante
École Polytechnique - Palaiseau,Recherche et excellence académique,427,Politique de chaires,"10,0/10",40
École Polytechnique - Palaiseau,International,429,Pourcentage d'étudiants internationaux,"7,5/10","25,46%"
École Polytechnique - Palaiseau,International,429,Pourcentage de double diplômés internationaux,"9,5/10","39,26%"
École Polytechnique - Palaiseau,International,429,Réputation internationale,"9,5/10",Shanghai : 301-400 (Univ)|QS : 46 (Univ)|THE : 71 (Univ)|Webometrics : 18 (Nom propre)|Classement Shanghai thématique
École Polytechnique - Palaiseau,International,429,Niveau d'anglais exigé,,"TOEIC 980, Linguaskill 180, TOEFL 100, CAE B, CPE B, IELTS 6.5"
École Polytechnique - Palaiseau,International,429,Durée minimale à l'étranger (hors apprentissage),,4
École Polytechnique - Palaiseau,International,429,Durée minimale à l'étranger pour les apprentis,,0
École Polytechnique - Palaiseau,International,429,Diplômés ayant passé plus d'un semestre à l'international en échange académique,,34%
École Polytechnique - Palaiseau,International,429,Diplômés ayant passé plus d'un semestre à l'international en stage,,7%
École Polytechnique - Palaiseau,Ouverture sociale et RSE,430,Ouverture sociale,,Correcte
École Polytechnique - Palaiseau,Ouverture sociale et RSE,430,Label DD&RS,"2,0/2",Label DD&RS
École Polytechnique - Palaiseau,Ouverture sociale et RSE,430,Parité au sein de la promotion (Hommes/Femmes),,"81,18%|18,82%"
École Polytechnique - Palaiseau,Ouverture sociale et RSE,430,Accord de Grenoble,,Non
École Polytechnique - Palaiseau,Ouverture sociale et RSE,430,Initiation transversale aux enjeux de développement durable,,Non
École Polytechnique - Palaiseau,Ouverture sociale et RSE,430,Valorisation de l'engagement étudiant,,Oui
École Polytechnique - Palaiseau,Ouverture sociale et RSE,430,Cellule de soutien psychologique,,Oui
École Polytechnique - Palaiseau,Ouverture sociale et RSE,430,Etudiants en situation de handicap,,"0,06%"
École Polytechnique - Palaiseau,Professionnalisation et emploi,431,Taux d'alternants,,"0,00%"
École Polytechnique - Palaiseau,Professionnalisation et emploi,431,Forums entreprises,"10,0/10",406
École Polytechnique - Palaiseau,Professionnalisation et emploi,431,Durée minimale de stages en entreprise,,52
École Polytechnique - Palaiseau,Professionnalisation et emploi,431,Salaire à la sortie,"10,0/10",Plus de 42500 €
École Polytechnique - Palaiseau,Professionnalisation et emploi,431,Insertion à deux mois,,"92,28%"
École Polytechnique - Palaiseau,Professionnalisation et emploi,431,Diplômés en poste à l'international,"10,0/10","37,50%"
École Polytechnique - Palaiseau,Professionnalisation et emploi,431,"Industrie automobile, aéronautique, navale et ferroviaire",,"3,45%"
École Polytechnique - Palaiseau,Professionnalisation et emploi,431,"BTP, construction",,"3,45%"
École Polytechnique - Palaiseau,Professionnalisation et emploi,431,Energie,,"6,90%"
École Polytechnique - Palaiseau,Professionnalisation et emploi,431,"Institutions financières, banque, assurance",,"11,49%"
École Polytechnique - Palaiseau,Professionnalisation et emploi,431,Industrie des technologies de l'information (services),,"12,26%"
École Polytechnique - Palaiseau,Professionnalisation et emploi,431,Industrie chimique ou pharmaceutique,,"1,15%"
École Polytechnique - Palaiseau,Professionnalisation et emploi,431,Industrie agroalimentaire,,"0,00%"
École Polytechnique - Palaiseau,Professionnalisation et emploi,431,"Agriculture, sylviculture, pêche",,"0,00%"
École Polytechnique - Palaiseau,Professionnalisation et emploi,431,Transports,,"2,68%"
École Polytechnique - Palaiseau,Professionnalisation et emploi,431,"Administration d'Etat, Collectivité territoriale, Hospitalière",,"17,62%"
École Polytechnique - Palaiseau,Professionnalisation et emploi,431,Recherche et enseignement,,"0,77%"
École Polytechnique - Palaiseau,Professionnalisation et emploi,431,Activités informatiques et services d'information,,"0,00%"
École Polytechnique - Palaiseau,Professionnalisation et emploi,431,Santé humaine et action sociale,,"0,00%"
École Polytechnique - Palaiseau,Professionnalisation et emploi,431,Fabrication de textile,,"0,00%"
École Polytechnique - Palaiseau,Professionnalisation et emploi,431,Métallurgie,,"0,77%"
École Polytechnique - Palaiseau,Professionnalisation et emploi,431,"Autres industries (bois, imprimerie...)",,"0,00%"
École Polytechnique - Palaiseau,Professionnalisation et emploi,431,"Métiers de l'eau et gestion des déchets (acheminement, assainissement, dépollution…)",,"1,53%"
École Polytechnique - Palaiseau,Professionnalisation et emploi,431,Commerce,,"0,00%"
École Polytechnique - Palaiseau,Professionnalisation et emploi,431,Télécommunications,,"0,00%"
École Polytechnique - Palaiseau,Professionnalisation et emploi,431,Autres secteurs,,"37,93%"
ENSTA Paris,Mieux connaître l'école,425,Présence sur Parcoursup,,Non
ENSTA Paris,Mieux connaître l'école,425,Villes d'implantation de l'école en France,,Palaiseau
ENSTA Paris,Mieux connaître l'école,425,Statut de l'école,,Public
ENSTA Paris,Mieux connaître l'école,425,Ministère de tutelle,,Ministère des Armées
ENSTA Paris,Mieux connaître l'école,425,Concours,,"Mines-Ponts, Concours ATS, Concours BUT"
ENSTA Paris,Mieux connaître l'école,425,Taille des promos en cycle ingénieur,,288
ENSTA Paris,Mieux connaître l'école,425,Spécialités proposées,,Ingénieur généraliste
ENSTA Paris,Mieux connaître l'école,425,Nombre de places en résidence Crous et privées,,502
ENSTA Paris,Mieux connaître l'école,425,Étudiants rémunérés pendant leurs études,,0%
ENSTA Paris,Origine des intégrés,426,Cycle prépa intégrée - Nombre d'intégrés à bac,,0
ENSTA Paris,Origine des intégrés,426,Cycle ingénieur - Nombre d'intégrés en 1ère année,,227
