name,url
École Polytechnique - Palaiseau,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-polytechnique-7681.html
ENSTA Paris,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-techniques-avancees-6915.html
IMT Atlantique,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
CentraleSupélec,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centralesupelec-cursus-ingenieur-supelec-7696.html
École des mines - Nancy,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-des-mines-de-nancy-5518.html
Télécom Paris,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/telecom-paris.html
École centrale - Nantes,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-centrale-de-nantes-5166.html
École centrale - Lyon,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-centrale-de-lyon-6367.html
École des Mines Paris - PSL,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-des-mines-de-paris-6922.html
École nationale des ponts et chaussées - Marne-la-vallée,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/ecole-nationale-des-ponts-et-chaussees-enpc.html
École des mines - Saint-Étienne,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-des-mines-de-saint-etienne-5070.html
Grenoble INP - Ensimag,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-d-informatique-et-de-mathematiques-appliquees-4947.html
ENSAE Paris,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-de-la-statistique-et-de-l-administration-economique-7779.html
