ecole,auteur,date,note,contenu,url
Etablissement Ecole Polytechnique 7681,Marc,24/03/2024,5.0,INCROYAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABLE,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-polytechnique-7681.html
Etablissement Ecole Polytechnique 7681,Louis-Marie,01/12/2023,5.0,La meilleure école du monde,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-polytechnique-7681.html
Etablissement Ecole Polytechnique 7681,Batiste,23/06/2023,5.0,"très bien, un petit peu tunnelisant nonobstant.",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-polytechnique-7681.html
Etablissement Ecole Polytechnique 7681,Vincent,01/03/2021,4.0,Superbe école offrant des opportunitées incroyable,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-polytechnique-7681.html
Etablissement Ecole Polytechnique 7681,Jean-Tiago Hamm,15/05/2020,5.0,Exceptionnel à tous points de vue.,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-polytechnique-7681.html
Etablissement Ecole Polytechnique 7681,A.HARR,29/07/2019,5.0,Un vrai établissement d'excellence,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-polytechnique-7681.html
Etablissement Ecole Polytechnique 7681,A.HARR,16/04/2018,5.0,"La meilleure école d'ingénieur en France ! Très bon suivi pédagogique, des professeurs de haute qualité, brassage culturel et activités sportives et culturelles très riches.",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-polytechnique-7681.html
Etablissement Ecole Polytechnique 7681,Bernard,09/04/2018,4.8,"Le top. Logés sur place dans belles chambres sur campus avec lac, gymnases, piscine, et tout sur place (le revert : risque de s'y enfermer). Certains bâtiments pourraient être un peu retapés (construction années 1970).Côté enseignement, tout ou presque est à la carte, des labos au top mondial, des conférenciers de très haut niveau (PDG CAC 40, etc.), des profs archi-compétents.Côté vie étudiante, il y a tout. Des binets (clubs) sur TOUT, des étudiants internationaux à la pelle, des animations à la pelle. Après, sur 500, bien sûr qu'il y aura toujours des profils qui ne veulent pas s'intégrer, ou qui regrettent que 15 % de filles. Mais pareil dans les autres écoles d'ingé!",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-polytechnique-7681.html
Etablissement Ecole Polytechnique 7681,Cty,06/02/2018,2.5,Mauvaise expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-polytechnique-7681.html
Etablissement Ecole Polytechnique 7681,faicalX,04/10/2017,5.0,"LA MEILLEURE ECOLE DU MONDE DANS MES YEUX , J ESPÈRE Y INTÉGRER INCHALLAH!",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-polytechnique-7681.html
Etablissement Ecole Nationale Superieure De Techniques Avancees 6915,Biley,17/07/2023,5.0,Excellente expérienceFormation de très niveau et une administration à l'écoute des étudiants,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-techniques-avancees-6915.html
Etablissement Ecole Nationale Superieure De Techniques Avancees 6915,Yohann SALOMON,06/04/2023,5.0,Très bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-techniques-avancees-6915.html
Etablissement Ecole Nationale Superieure De Techniques Avancees 6915,Sophie,28/03/2023,5.0,"Vie associative très riche, cours de qualité et diversité des choix de cursus, je recommande !",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-techniques-avancees-6915.html
Etablissement Ecole Nationale Superieure De Techniques Avancees 6915,Lola,09/02/2023,5.0,Très bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-techniques-avancees-6915.html
