ecole,note_brute_accord_de_grenoble,note_brute_activités_informatiques_et_services_d'information,"note_brute_administration_d'etat,_collectivité_territoriale,_hospitalière","note_brute_agriculture,_sylviculture,_pêche","note_brute_autres_industries_(bois,_imprimerie...)",note_brute_autres_secteurs,"note_brute_btp,_construction",note_brute_cellule_de_soutien_psychologique,note_brute_commerce,note_brute_concours,note_brute_cycle_ingénieur_-_nombre_d'intégrés_en_1ère_année,note_brute_cycle_prépa_intégrée_-_nombre_d'intégrés_à_bac,note_brute_diplômés_ayant_passé_plus_d'un_semestre_à_l'international_en_stage,note_brute_diplômés_ayant_passé_plus_d'un_semestre_à_l'international_en_échange_académique,note_brute_diplômés_en_poste_à_l'international,note_brute_durée_minimale_de_stages_en_entreprise,note_brute_durée_minimale_à_l'étranger_(hors_apprentissage),note_brute_durée_minimale_à_l'étranger_pour_les_apprentis,note_brute_energie,note_brute_etudiants_en_situation_de_handicap,note_brute_fabrication_de_textile,note_brute_forums_entreprises,note_brute_industrie_agroalimentaire,"note_brute_industrie_automobile,_aéronautique,_navale_et_ferroviaire",note_brute_industrie_chimique_ou_pharmaceutique,note_brute_industrie_des_technologies_de_l'information_(services),note_brute_initiation_transversale_aux_enjeux_de_développement_durable,note_brute_insertion_à_deux_mois,"note_brute_institutions_financières,_banque,_assurance",note_brute_label_dd&rs,note_brute_masse_et_encadrement_des_doctorants,note_brute_ministère_de_tutelle,note_brute_moyenne_au_bac_des_intégrés,note_brute_métallurgie,"note_brute_métiers_de_l'eau_et_gestion_des_déchets_(acheminement,_assainissement,_dépollution…)",note_brute_niveau_d'anglais_exigé,note_brute_nombre_d'intégrés_issus_d'un_autre_bac,note_brute_nombre_d'étudiants_par_enseignant,note_brute_nombre_de_places_en_résidence_crous_et_privées,note_brute_ouverture_sociale,note_brute_parité_au_sein_de_la_promotion_(hommes/femmes),note_brute_part_d'enseignants-chercheurs,note_brute_politique_de_chaires,note_brute_pourcentage_d'étudiants_internationaux,note_brute_pourcentage_de_diplômés_poursuivant_en_thèse,note_brute_pourcentage_de_double_diplômés_internationaux,note_brute_présence_sur_parcoursup,note_brute_recherche_et_enseignement,note_brute_réputation_internationale,note_brute_salaire_à_la_sortie,note_brute_santé_humaine_et_action_sociale,note_brute_spécialités_proposées,note_brute_statut_de_l'école,note_brute_taille_des_promos_en_cycle_ingénieur,note_brute_taux_d'alternants,note_brute_transports,note_brute_télécommunications,note_brute_valorisation_de_l'engagement_étudiant,note_brute_villes_d'implantation_de_l'école_en_france,note_brute_étudiants_rémunérés_pendant_leurs_études,score_diplômés_en_poste_à_l'international,score_forums_entreprises,score_label_dd&rs,score_masse_et_encadrement_des_doctorants,score_moyenne_au_bac_des_intégrés,score_ouverture_sociale,score_parité_au_sein_de_la_promotion_(hommes/femmes),score_part_d'enseignants-chercheurs,score_politique_de_chaires,score_pourcentage_d'étudiants_internationaux,score_pourcentage_de_double_diplômés_internationaux,score_réputation_internationale,score_salaire_à_la_sortie,score_taux_d'alternants,note_brute_part_etudiant_hommes,note_brute_part_etudiant_femmes
3iL ingénieurs,False,12.04,0.0,2.78,0.93,56.48,0.93,True,1.85,"Puissance Alpha, CCINP",134.0,25.0,1.0,33.0,20.12,42.0,3.0,3.0,2.78,0.99,0.93,160.0,0.93,4.63,0.93,0.0,True,92.21,7.41,False,1,Ministère de l'Enseignement supérieur et de la recherche,13.42,0.93,0.0,TOEIC 785,2.0,14.48,0.0,2,84.24|15.76,41.49,5.0,36.21,2.22,26.84,True,0.0,Non présent dans les classements internationnaux,Entre 39700 €  et 40900 €,1.85,Informatique et systèmes,Privé - EESPIG,135.0,66.5,1.85,2.78,1.0,"Limoges, Nantes, Rodez",0.0,9.0,7.0,,,,,,,,9.5,9.5,,8.0,5.0,84.24,15.76
AgroParisTech,True,0.46,14.22,28.44,0.46,8.26,0.92,True,2.29,"Agro-véto, Centrale-Supélec",421.0,0.0,10.0,2.0,6.95,36.0,3.0,1.5,3.67,1.79,0.0,72.0,9.17,0.0,11.47,5.5,True,79.15,2.29,False,4,Ministère de l'Agriculture et de la souveraineté alimentaire,16.63,0.0,2.29,"TOEIC 785, TOEIC TFI 605, CERCL B2",4.0,6.09,88.0,3,36.45|63.55,91.47,11.0,4.9,8.59,2.81,False,7.8,Shanghai : 701-800 (nom propre)|QS : 73 (Univ)|THE : 64 (Univ)|Webometrics : 38 (Nom propre)|Classement Shanghai thématique,Entre 34600 €  et 36000 €,2.29,"Agronomie, Génie biologique, Génie environnemental",Public,429.0,11.51,0.46,0.0,1.0,Paris,0.0,,,,8.0,8.0,,2.0,9.0,8.0,,,10.0,,,36.45,63.55
Arts et Métiers Sciences et Technologies,True,6.49,1.18,0.88,7.37,10.03,12.68,True,1.47,"Centrale-Supélec, Concours ATS",1464.0,0.0,9.0,3.0,16.11,38.0,4.5,2.0,15.04,0.18,1.18,235.0,1.18,22.12,3.54,0.88,True,86.07,3.83,False,4,Ministère de l'Enseignement supérieur et de la recherche,15.6,10.03,0.0,TOEIC 785,256.0,16.59,0.0,3,83.14|16.86,70.04,4.0,8.51,3.58,19.51,True,0.29,THE : 801-1000 (Nom propre)|Webometrics : 96 (Nom propre)|Classement Shanghai thématique,Entre 39700 €  et 40900 €,0.88,"Génie civil, Génie des matériaux, Génie environnemental, Génie industriel, Génie nucléaire, Génie électrique et électronique, Ingénieur généraliste",Public,1685.0,24.55,0.29,0.59,1.0,Paris,0.0,8.0,9.0,,8.0,,6.5,,,,,8.0,7.5,8.0,,83.14,16.86
Bordeaux Sciences Agro,True,0.0,6.02,45.78,1.2,22.89,1.2,True,2.41,"Agro-véto, CCINP",,,6.0,0.0,6.65,42.0,3.0,1.0,0.0,0.79,0.0,49.0,16.87,0.0,1.2,0.0,True,84.85,0.0,False,2,Ministère de l'Agriculture et de la souveraineté alimentaire,15.75,0.0,0.0,TOEIC 785,2.0,16.31,390.0,3,40.87|59.13,72.82,4.0,0.0,5.43,5.56,False,2.41,Webometrics : 125 (Nom propre),Moins de 34600 €,0.0,"Agronomie, Génie agroalimentaire, Génie environnemental",Public,168.0,20.04,0.0,0.0,1.0,Gradignan,0.0,,,,,,6.5,2.0,,,,,,,,40.87,59.13
Builders École d’ingénieurs,False,0.0,0.0,0.0,0.0,0.0,100.0,False,0.0,"Avenir, Concours ATS",97.0,177.0,23.0,13.0,22.35,49.0,4.5,2.0,0.0,1.94,0.0,317.0,0.0,0.0,0.0,0.0,True,100.0,0.0,True,1,Ministère de l'Enseignement supérieur et de la recherche,14.75,0.0,0.0,TOEIC B2 800,4.0,10.98,135.0,2,71.32|28.68,65.96,10.0,14.92,0.88,3.91,True,0.0,Webometrics : 131 (ComUE),Entre 39700 €  et 40900 €,0.0,"Informatique et systèmes, Chimie, Génie civil, Génie environnemental, Génie des matériaux",Privé,172.0,24.42,0.0,0.0,1.0,Épron,0.0,9.5,10.0,2.0,,,,,,7.0,,,,8.0,,71.32,28.68
CESI École d'ingénieurs,False,0.0,0.0,0.0,0.0,1.83,46.75,True,0.0,Admission propre,2063.0,1153.0,13.0,13.0,16.19,102.0,6.0,3.0,4.16,3.47,0.0,448.0,0.0,16.43,6.29,18.66,True,92.71,0.0,False,1,Ministère de l'Enseignement supérieur et de la recherche,15.35,5.88,0.0,TOEIC 800,62.0,13.51,110.0,3,85.03|14.97,53.56,6.0,14.55,1.01,1.45,True,0.0,Webometrics : 164 (Nom propre),Entre 40900 €  et 42500 €,0.0,"Informatique et systèmes, Génie civil, Génie environnemental, Génie industriel, Génie électrique et électronique, Informatique et systèmes, Ingénieur généraliste",Privé,1832.0,85.03,0.0,0.0,1.0,"Nanterre, Aix-en-Provence, Angoulême, Arras, Bordeaux, Brest, Caen, Dijon, Grenoble, La Rochelle, Lille, Lyon, Montpellier, Nancy, Nantes, Nice, Orléans, Pau, Reims, Rouen, Strasbourg, Toulouse",0.0,8.0,10.0,,,,,,,,,,,9.0,5.0,85.03,14.97
CPE - Lyon,False,36.02,1.24,0.0,1.86,26.09,0.62,True,0.62,"Puissance Alpha, CCINP",,,52.0,6.0,16.01,0.0,4.0,2.0,4.35,3.05,0.0,82.0,1.24,1.24,16.15,3.73,False,79.91,0.62,False,4,Ministère de l'Enseignement supérieur et de la recherche,14.89,0.62,0.62,"Cambridge B2/C1, IELTS B2, Languaskill B2",12.0,12.97,0.0,2,66.28|33.72,80.23,15.0,4.48,15.35,1.84,True,3.11,Webometrics : 126 (Nom propre),Entre 37500 €  et 38000 €,0.62,"Chimie, Génie biologique, Génie des matériaux, Génie environnemental, Génie électrique et électronique, Informatique et systèmes, Télécommunications",Privé - EESPIG,372.0,31.3,0.62,0.62,1.0,Villeurbanne,0.0,8.0,,,8.5,,,2.0,,10.0,,,,,,66.28,33.72
CY Tech,False,30.77,1.54,0.0,4.62,10.77,4.62,True,0.0,CCINP,,,9.0,18.0,5.01,56.0,4.5,1.0,6.15,0.66,1.54,149.0,1.54,6.15,1.54,7.69,True,93.55,16.92,False,5,Ministère de l'Enseignement supérieur et de la recherche,14.8,0.0,0.0,TOEIC 800,,8.93,70.0,2,71.09|28.91,88.6,0.0,9.62,3.81,7.33,True,0.0,QS : 851-900 (Univ)|THE : 801-1000 (Univ)|Webometrics : 61 (Univ)|Classement Shanghai thématique,Entre 39700 €  et 40900 €,0.0,"Chimie, Génie biologique, Génie civil, Génie des matériaux, Informatique et systèmes",Public,914.0,15.46,3.08,3.08,0.0,Cergy Pontoise,0.0,,6.5,,9.5,,,,7.5,,,,,8.0,,71.09,28.91
CentraleSupélec,True,17.77,3.51,0.21,0.62,21.07,0.83,True,2.27,"Centrale-Supélec, Agro-véto,Concours ATS",903.0,0.0,4.0,12.0,19.54,28.0,4.5,3.0,15.29,1.27,0.62,241.0,0.83,8.68,1.86,5.37,True,88.44,14.26,True,5,"Ministère de l'Economie, des Finances et de la souveraineté industrielle / Ministère de l'Economie, des Finances et de la souveraineté industrielle et numérique",17.59,0.83,0.62,Linguaskill C1,0.0,11.56,25.0,2,82.67|17.33,86.94,19.0,15.66,11.97,24.27,False,1.65,Shanghai : 12 (Univ)|QS : 73 (Univ)|THE : 64 (Univ)|Webometrics : 32 (Nom propre)|Classement Shanghai thématique,Plus de 42500 €,2.27,Ingénieur généraliste,Public,1075.0,8.93,1.45,0.0,0.0,Gif-sur-Yvette,0.0,9.0,9.0,2.0,10.0,10.0,,,7.0,10.0,,8.5,10.0,10.0,,82.67,17.33
EBI - Cergy-Pontoise,False,1.05,0.0,0.0,3.16,29.47,1.05,True,2.11,Puissance Alpha,54.0,135.0,93.0,21.0,16.68,44.0,4.0,0.0,1.05,3.53,0.0,168.0,13.68,0.0,38.95,0.0,True,92.86,0.0,False,1,Ministère de l'Enseignement supérieur et de la recherche,14.06,1.05,1.05,TOEIC 820,5.0,14.01,303.0,2,20.59|79.41,81.59,3.0,5.49,6.57,16.25,True,7.37,Non présent dans les classements internationnaux,Entre 37500 €  et 38000 €,0.0,"Génie biologique, Génie environnemental",Privé - EESPIG,170.0,20.78,0.0,0.0,1.0,Cergy,0.0,8.0,7.5,,,,,,,,,7.5,,,,20.59,79.41
